rank,movement,points,name,country,country_code,abbreviation
333,0,156,"Nicod, Jakub",Czechia,CZE,NIC
334,8,156,"McCabe, James",Australia,AUS,MCC
335,2,156,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
336,-1,153,"Jung, Jason",Chinese Taipei,TPE,JUN
337,-1,153,"Den Ouden, Guy",Netherlands,NLD,DEN
338,1,151,"Saville, Luke",Australia,AUS,SAV
339,1,151,"Ursu, Vadym",Ukraine,UKR,URS
340,-30,150,"Paulson, Andrew",Czechia,CZE,PAU
341,0,150,"Erhard, Mathys",France,FRA,ERH
342,29,149,"Tien, Learner",USA,USA,TIE
343,0,149,"Giustino, Lorenzo",Italy,ITA,GIU
344,0,147,"Poullain, Lucas",France,FRA,POU
345,15,147,"Barroso Campos, Alberto",Spain,ESP,BAR
346,0,147,"Gautier, Alexis",France,FRA,GAU
347,-35,145,"Pella, Guido",Argentina,ARG,PEL
348,-3,145,"Naw, Hazem",Syria,SYR,NAW
349,12,145,"Lopez Montagud, Carlos",Spain,ESP,LOP
350,-2,144,"Cui, Jie",China,CHN,CUI
351,-4,144,"Krumich, Martin",Czechia,CZE,KRU
352,-2,144,"Forejtek, Jonas",Czechia,CZE,FOR
353,-1,143,"Mott, Blake",Australia,AUS,MOT
354,44,143,"Oradini, Giovanni",Italy,ITA,ORA
355,-1,143,"Kolar, Zdenek",Czechia,CZE,KOL
356,9,142,"Cecchinato, Marco",Italy,ITA,CEC
357,-1,142,"Oliel, Yshai",Israel,ISR,OLI
358,-1,141,"Collignon, Raphael",Belgium,BEL,COL
359,-1,141,"Mikrut, Luka",Croatia,HRV,MIK
360,14,140,"Torres, Juan Bautista",Argentina,ARG,TOR
361,-43,140,"Campana Lee, Gerard",Republic of Korea,KOR,CAM
362,-9,140,"Denolly, Corentin",France,FRA,DEN
363,-8,139,"Dutra Da Silva, Daniel",Brazil,BRA,DUT
364,-1,138,"Andreozzi, Guido",Argentina,ARG,AND
365,-14,137,"McHugh, Aidan",Great Britain,GBR,MCH
366,0,136,"Basavareddy, Nishesh",USA,USA,BAS
367,0,135,"Kwon, Soonwoo",Republic of Korea,KOR,KWON
368,1,135,"Klizan, Martin",Slovakia,SVK,KLI
369,-7,134,"Klier Junior, Gilbert",Brazil,BRA,KIL
370,-6,134,"Luz, Orlando",Brazil,BRA,LUZ
371,2,133,"Gea, Arthur",France,FRA,GEA
372,0,133,"Sun, Fajing",China,CHN,SUN
373,4,133,"Brancaccio, Raul",Italy,ITA,BRA
374,5,132,"Soto, Matias",Chile,CHL,SOT
375,0,132,"Ellis, Blake",Australia,AUS,ELL
376,0,130,"Cretu, Cezar (2001)",Romania,ROU,CRE
377,60,130,"Uchida, Kaichi",Japan,JPN,UCH
378,27,130,"Picchione, Andrea",Italy,ITA,PIC
379,4,129,"Gerch, Lucas",Germany,DEU,GER
380,-48,129,"Echargui, Moez",Tunisia,TUN,ECH
381,-1,128,"Haliak, Mikalai",Neutral,TUN,HAL
382,-4,128,"Boitan, Gabi Adrian",Romania,ROU,BOI
383,8,126,"Lingua Lavallen, Alejo Lorenzo",Argentina,ARG,LIN
384,4,126,"Giannessi, Alessandro",Italy,ITA,GIA
385,-3,125,"Weber, Arthur",France,FRA,WEB
386,-2,125,"Villanueva, Gonzalo",Argentina,ARG,VIL
387,-2,125,"van Wyk, Kris",South Africa,ZAF,VAN
388,20,124,"Gaio, Federico",Italy,ITA,GAI
389,-3,124,"Celikbilek, Altug",Turkiye,TUR,CEL
390,-3,124,"Sanchez Jover, Carlos",Spain,ESP,SAN
391,-2,124,"Ionel, Nicholas David",Romania,ROU,ION
392,-2,123,"Schwaerzler, Joel",Austria,AUT,SCH
393,1,123,"Safwat, Mohamed",Egypt,EGY,SAF
394,-2,123,"Sharipov, Marat",Neutral,EGY,SHA
395,11,122,"Aboian, Valerio",Argentina,ARG,ABO
396,1,121,"Tiurnev, Evgenii",Neutral,ARG,TIE
397,-1,121,"Wenger, Damien",Switzerland,CHE,WEN
398,33,121,"Nijboer, Ryan",Netherlands,NLD,NIJ
399,2,120,"Prado Angelo, Juan Carlos",Bolivia,BOL,PRA
400,2,119,"Debru, Gabriel",France,FRA,DEB
401,-2,118,"Nishikori, Kei",Japan,JPN,NIS
402,-2,117,"Otte, Oscar",Germany,DEU,OTT
403,42,116,"Henning, Philip",South Africa,ZAF,HEN
404,76,116,"Chazal, Maxime",France,FRA,CHA
405,-2,115,"Lavagno, Edoardo",Italy,ITA,LAV
406,1,114,"Ilkel, Cem",Turkiye,TUR,ILK
407,-12,114,"Michalski, Daniel",Poland,POL,MIC
408,-27,113,"Kumar, Omni",USA,USA,KUM
409,-16,113,"Serdarusic, Nino",Croatia,HRV,SER
410,10,113,"Houkes, Max",Netherlands,NLD,HOU
411,1,113,"Dellavedova, Matthew",Australia,AUS,DEL
412,27,112,"Nakagawa, Naoki",Japan,JPN,NAK
413,2,111,"Moriya, Hiroki",Japan,JPN,MOR
414,-3,111,"Midon, Lautaro",Argentina,ARG,MID
415,2,110,"Donskoy, Evgeny",Neutral,ARG,DON
416,3,110,"Sels, Jelle",Netherlands,NLD,SEL
417,4,110,"Kuzuhara, Bruno",USA,USA,KUZ
418,10,109,"Bobrov, Bogdan",Neutral,USA,BOB
419,4,109,"Glinka, Daniil",Estonia,EST,GLI
420,4,108,"Butvilas, Edas",Lithuania,LTU,BUT
421,-7,108,"Johns, Garrett",USA,USA,JOH
422,-12,108,"Handel, Tim",Germany,DEU,HAN
423,2,108,"Rosenkranz, Mats",Germany,DEU,ROS
424,2,108,"Gulin, Svyatoslav",Neutral,DEU,GUL
425,2,107,"Valkusz, Mate",Hungary,HUN,VAL
426,-4,107,"Copil, Marius",Romania,ROU,COP
427,-11,107,"Kingsley, Cannon",USA,USA,KIN
428,1,107,"Vatutin, Alexey",Neutral,USA,VAT
429,-25,107,"Serafini, Marcello",Italy,ITA,SER
430,0,107,"Merida, Daniel",Spain,ESP,MER
